Time,Voltage
15.829,4.28
15.839,4.277
15.849,4.276
15.859,4.274
15.869,4.272
15.879,4.27
15.889,4.268
15.899,4.266
15.909,4.264
15.919,4.263
15.929,4.26
15.939,4.259
15.949,4.256
15.959,4.255
15.969,4.253
15.979,4.251
15.989,4.249
15.999,4.248
16.009,4.245
16.019,4.244
16.029,4.242
16.039,4.24
16.049,4.238
16.059,4.236
16.069,4.234
16.079,4.232
16.089,4.23
16.099,4.229
16.109,4.227
16.119,4.225
16.129,4.223
16.139,4.221
16.149,4.219
16.159,4.217
16.169,4.215
16.179,4.214
16.189,4.212
16.199,4.21
16.209,4.208
16.219,4.206
16.229,4.204
16.239,4.202
16.249,4.201
16.259,4.198
16.269,4.197
16.279,4.195
16.289,4.193
16.299,4.192
16.309,4.19
16.319,4.188
16.329,4.186
16.339,4.184
16.349,4.182
16.359,4.18
16.369,4.178
16.379,4.177
16.389,4.174
16.399,4.173
16.409,4.171
16.419,4.169
16.429,4.167
16.439,4.165
16.449,4.164
16.459,4.162
16.469,4.16
16.479,4.159
16.489,4.157
16.499,4.155
16.509,4.153
16.519,4.151
16.529,4.15
16.539,4.147
16.549,4.146
16.559,4.145
16.569,4.142
16.579,4.14
16.589,4.138
16.599,4.137
16.609,4.135
16.619,4.133
16.629,4.132
16.639,4.129
16.649,4.128
16.659,4.126
16.669,4.124
16.679,4.123
16.689,4.121
16.699,4.119
16.709,4.117
16.719,4.115
16.729,4.113
16.739,4.112
16.749,4.11
16.759,4.108
16.769,4.107
16.779,4.105
16.789,4.103
16.799,4.101
16.809,4.099
16.819,4.098
16.829,4.096
16.839,4.094
16.849,4.093
16.859,4.09
16.869,4.088
16.879,4.087
16.889,4.085
16.899,4.084
16.909,4.082
16.919,4.08
16.929,4.078
16.939,4.077
16.949,4.075
16.959,4.073
16.969,4.071
16.979,4.07
16.989,4.068
16.999,4.066
17.009,4.064
17.019,4.063
17.029,4.061
17.039,4.059
17.049,4.057
17.059,4.055
17.069,4.054
